player,Var.25,tournament name,course,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
Bill Haas,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-0.9,0.94,-1.7,1.16,0.39,-0.5
Brandon Hagy,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-0.43,-0.97,0.56,0.34,-0.08,-0.5
Brian Harman,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.03,0.63,-0.65,-0.51,-0.54,-0.5
Bo Hoag,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.6,-0.98,0.19,0.18,-0.61,0
Beau Hossler,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T65,0,1,-1.39,-0.56,-0.94,-0.94
Ben Martin,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T70,-1.97,0.05,0.75,-0.01,0.79,-1.19
Brandt Snedeker,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-2.41,-0.35,-0.16,-0.09,-0.59,-3
Brian Stuard,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T15,2.27,0.23,-0.64,-0.05,-0.46,1.81
Ben Taylor,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T24,2.33,0.82,-0.9,-0.68,-0.77,1.56
Brendon Todd,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T10,0.23,0.36,1.16,0.31,1.83,2.06
Bo Van Pelt,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.2,-0.23,-0.24,-0.73,-1.2,-1
Bubba Watson,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T46,-0.27,0.22,0.46,0.15,0.84,0.56
Chris Baker,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T70,-1.08,-0.23,0,0.11,-0.11,-1.19
Chesson Hadley,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T15,1.3,-0.2,0.72,-0.01,0.51,1.81
Chris Kirk,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T29,0.65,0.41,0.28,-0.03,0.67,1.31
C.T. Pan,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T29,-0.99,0.53,0.69,1.08,2.3,1.31
Cameron Percy,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T37,-0.31,-0.07,1.22,-0.03,1.12,0.81
Chez Reavie,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-1.05,-0.17,-1.99,1.2,-0.96,-2
Charl Schwartzel,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-1.77,-0.63,0.5,-2.61,-2.74,-4.5
Chase Seiffert,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-0.42,-0.16,0.1,-0.02,-0.09,-0.5
Camilo Villegas,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T46,0.42,-0.11,-0.33,0.59,0.14,0.56
Dylan Frittelli,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.79,-0.14,-0.75,0.1,-0.8,0
Doug Ghim,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.98,-0.16,-1.33,0.51,-0.98,0
David Lingmerth,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T37,0.83,0.47,-0.58,0.09,-0.02,0.81
Denny McCarthy,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T15,1.41,0.44,0.49,-0.54,0.4,1.81
Doc Redman,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.01,0.2,-1.4,1.19,-0.01,0
