Date,^FTSE,^GSPC
08/01/2014,6721.799805,1837.48999
09/01/2014,6691.299805,1838.130005
10/01/2014,6739.899902,1842.369995
13/01/2014,6757.200195,1819.199951
14/01/2014,6766.899902,1838.880005
15/01/2014,6819.899902,1848.380005
16/01/2014,6815.399902,1845.890015
17/01/2014,6829.299805,1838.699951
21/01/2014,6834.299805,1843.800049
22/01/2014,6826.299805,1844.859985
23/01/2014,6773.299805,1828.459961
24/01/2014,6663.700195,1790.290039
27/01/2014,6550.700195,1781.560059
28/01/2014,6572.299805,1792.5
29/01/2014,6544.299805,1774.199951
30/01/2014,6538.5,1794.189941
31/01/2014,6510.399902,1782.589966
03/02/2014,6465.700195,1741.890015
04/02/2014,6449.299805,1755.199951
05/02/2014,6457.899902,1751.640015
06/02/2014,6558.299805,1773.430054
07/02/2014,6571.700195,1797.02002
10/02/2014,6591.600098,1799.839966
11/02/2014,6672.700195,1819.75
12/02/2014,6675,1819.26001
13/02/2014,6659.399902,1829.829956
14/02/2014,6663.600098,1838.630005
18/02/2014,6796.399902,1840.76001
19/02/2014,6796.700195,1828.75
20/02/2014,6813,1839.780029
21/02/2014,6838.100098,1836.25
24/02/2014,6865.899902,1847.609985
25/02/2014,6830.5,1845.119995
26/02/2014,6799.200195,1845.160034
27/02/2014,6810.299805,1854.290039
28/02/2014,6809.700195,1859.449951
03/03/2014,6708.399902,1845.72998
04/03/2014,6823.799805,1873.910034
05/03/2014,6775.399902,1873.810059
06/03/2014,6788.5,1877.030029
07/03/2014,6712.700195,1878.040039
10/03/2014,6689.5,1877.170044
11/03/2014,6685.5,1867.630005
12/03/2014,6620.899902,1868.199951
13/03/2014,6553.799805,1846.339966
14/03/2014,6527.899902,1841.130005
17/03/2014,6568.399902,1858.829956
18/03/2014,6605.299805,1872.25
19/03/2014,6573.100098,1860.77002
20/03/2014,6542.399902,1872.01001
21/03/2014,6557.200195,1866.52002
24/03/2014,6520.399902,1857.439941
25/03/2014,6604.899902,1865.619995
26/03/2014,6605.299805,1852.560059
27/03/2014,6588.299805,1849.040039
28/03/2014,6615.600098,1857.619995
31/03/2014,6598.399902,1872.339966
01/04/2014,6652.600098,1885.52002
02/04/2014,6659,1890.900024
03/04/2014,6649.100098,1888.77002
04/04/2014,6695.600098,1865.089966
07/04/2014,6622.799805,1845.040039
08/04/2014,6590.700195,1851.959961
09/04/2014,6635.600098,1872.180054
10/04/2014,6642,1833.079956
11/04/2014,6561.700195,1815.689941
14/04/2014,6583.799805,1830.609985
15/04/2014,6541.600098,1842.97998
16/04/2014,6584.200195,1862.310059
17/04/2014,6625.299805,1864.849976
22/04/2014,6681.799805,1879.550049
23/04/2014,6674.700195,1875.390015
24/04/2014,6703,1878.609985
25/04/2014,6685.700195,1863.400024
28/04/2014,6700.200195,1869.430054
29/04/2014,6769.899902,1878.329956
30/04/2014,6780,1883.949951
01/05/2014,6808.899902,1883.680054
02/05/2014,6822.399902,1881.140015
06/05/2014,6798.600098,1867.719971
07/05/2014,6796.399902,1878.209961
08/05/2014,6839.299805,1875.630005
09/05/2014,6814.600098,1878.47998
12/05/2014,6851.799805,1896.650024
13/05/2014,6873.100098,1897.449951
14/05/2014,6878.5,1888.530029
15/05/2014,6840.899902,1870.849976
16/05/2014,6855.799805,1877.859985
19/05/2014,6844.600098,1885.079956
20/05/2014,6802,1872.829956
21/05/2014,6821,1888.030029
22/05/2014,6820.600098,1892.48999
23/05/2014,6815.799805,1900.530029
27/05/2014,6844.899902,1911.910034
28/05/2014,6851.200195,1909.780029
29/05/2014,6871.299805,1920.030029
30/05/2014,6844.5,1923.569946
02/06/2014,6864.100098,1924.969971
03/06/2014,6836.299805,1924.23999
04/06/2014,6818.600098,1927.880005
05/06/2014,6813.5,1940.459961
06/06/2014,6858.200195,1949.439941
09/06/2014,6875,1951.27002
10/06/2014,6873.600098,1950.790039
11/06/2014,6838.899902,1943.890015
12/06/2014,6843.100098,1930.109985
13/06/2014,6777.899902,1936.160034
16/06/2014,6754.600098,1937.780029
17/06/2014,6766.799805,1941.98999
18/06/2014,6778.600098,1956.97998
19/06/2014,6808.100098,1959.47998
20/06/2014,6825.200195,1962.869995
23/06/2014,6800.600098,1962.609985
24/06/2014,6787.100098,1949.97998
25/06/2014,6733.600098,1959.530029
26/06/2014,6735.100098,1957.219971
27/06/2014,6757.799805,1960.959961
30/06/2014,6743.899902,1960.22998
01/07/2014,6802.899902,1973.319946
02/07/2014,6816.399902,1974.619995
03/07/2014,6865.200195,1985.439941
07/07/2014,6823.5,1977.650024
08/07/2014,6738.5,1963.709961
09/07/2014,6718,1972.829956
10/07/2014,6672.399902,1964.680054
11/07/2014,6690.200195,1967.569946
14/07/2014,6746.100098,1977.099976
15/07/2014,6710.5,1973.280029
16/07/2014,6784.700195,1981.569946
17/07/2014,6738.299805,1958.119995
18/07/2014,6749.5,1978.219971
21/07/2014,6728.399902,1973.630005
22/07/2014,6795.299805,1983.530029
23/07/2014,6798.200195,1987.01001
24/07/2014,6821.5,1987.97998
